System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
WordPress,0.71-gold,11613,54,31706,7508,49,1,0,0,3,0,0,0,0,0,53,0,0,0,0,0,0,0,133,43,5,0,5,0,0,0,0,0
WordPress,1.0-platinum,17461,76,47377,10806,70,1,0,0,5,0,0,0,0,0,76,0,0,0,0,0,0,0,144,38,6,0,6,0,0,0,0,0
WordPress,1.0.1-miles,17433,75,47855,10825,70,1,0,0,5,0,0,0,0,0,76,0,0,0,0,0,0,0,146,36,6,0,6,0,0,0,0,0
WordPress,1.0.2,17466,75,48120,10850,70,1,0,0,5,0,0,0,0,0,76,0,0,0,0,0,0,0,146,36,6,0,6,0,0,0,0,0
WordPress,1.2.1,18866,99,53253,12906,91,1,0,0,6,0,0,0,0,0,98,0,0,0,0,0,0,0,204,39,8,0,8,0,0,0,0,0
WordPress,1.2.2,20380,100,58817,13939,91,1,0,0,6,0,0,0,0,0,98,0,0,0,0,0,0,0,207,42,8,0,8,0,0,0,0,0
WordPress,1.5-strayhorn,22646,123,63680,16487,81,1,1,0,7,0,0,0,0,0,90,0,0,0,0,0,0,0,220,77,2,0,2,0,0,0,0,0
WordPress,1.5.1,23459,125,66505,16834,81,1,1,0,7,0,0,0,0,0,90,0,0,0,0,0,0,0,223,86,2,0,2,0,0,0,0,0
WordPress,1.5.1.2,23449,125,66400,16827,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,1.5.1.1,23444,125,66391,16825,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,1.5.1.3,23472,125,66473,16854,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,1.5.2,23515,125,66625,16901,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,2.0,27619,138,78474,19740,56,8,1,0,12,0,0,0,0,0,77,0,0,0,0,0,0,0,230,100,3,4,7,0,0,0,0,0
WordPress,2.0.1,28533,141,81365,20523,60,8,1,0,12,0,0,0,0,0,81,0,0,0,0,0,0,0,234,100,3,4,7,0,0,0,0,0
WordPress,2.0.4,29107,141,83354,20928,60,8,1,0,12,0,0,0,0,0,81,0,0,0,0,0,0,0,234,100,3,4,7,0,0,0,0,0
WordPress,2.0.5,29733,142,85430,21434,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,5,8,0,0,0,0,0
WordPress,2.0.6,29790,142,85567,21481,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,5,8,0,0,0,0,0
WordPress,2.0.7,29875,142,86024,21592,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.8,29937,142,86288,21632,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.9,29938,142,86298,21633,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.10,29996,142,86549,21684,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.11,30063,142,86919,21757,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.1,33777,176,98246,24744,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.1.1,33787,176,98309,24753,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.1.2,33794,176,98337,24758,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.1.3,33860,176,98642,24815,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.2,38104,182,113124,28296,14,8,1,1,31,0,0,0,0,0,55,0,0,0,0,0,0,0,289,132,2,9,11,0,0,0,0,0
WordPress,2.2.1,38249,182,113521,28392,14,8,1,1,31,0,0,0,0,0,55,0,0,0,0,0,0,0,289,132,2,9,11,0,0,0,0,0
