System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
phpMyAdmin,2.2.0,14780,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.2.1,18224,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.2.2,19786,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.2.3,21020,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.2.4,22968,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.2.5,23752,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.2.6,25476,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.3.0,55642,179,7450,1551,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.3.1,58060,182,7450,1551,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.3.2,58277,183,7450,1551,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.4.0,74572,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.5.0,80128,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.5.1,80961,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.5.2,83659,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.5.4,95824,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpMyAdmin,2.5.6,97870,236,318836,87808,79,35,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,436,15,3,0,3,0,0,0,0,0
phpMyAdmin,2.8.0.4,150465,318,472754,132701,67,34,3,1,1,0,0,0,0,0,106,0,0,0,0,0,0,0,523,25,5,0,5,0,0,0,0,0
phpMyAdmin,2.8.1,150435,318,472669,132683,67,34,3,1,1,0,0,0,0,0,106,0,0,0,0,0,0,0,523,25,5,0,5,0,0,0,0,0
phpMyAdmin,2.8.2.4,150435,318,472669,132683,67,34,3,1,1,0,0,0,0,0,106,0,0,0,0,0,0,0,523,25,5,0,5,0,0,0,0,0
phpMyAdmin,2.9.0.2,154196,321,482792,134894,58,32,3,1,1,0,0,0,0,0,95,0,0,0,0,0,0,0,552,26,5,1,6,0,0,0,0,0
phpMyAdmin,2.9.0,154112,321,485563,135776,58,32,3,1,1,0,0,0,0,0,95,0,0,0,0,0,0,0,553,26,5,1,6,0,0,0,0,0
phpMyAdmin,2.9.0.1,154193,321,482823,134892,58,32,3,1,1,0,0,0,0,0,95,0,0,0,0,0,0,0,552,26,5,1,6,0,0,0,0,0
