System,Version,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,Total Includes,Dynamic Includes,Eval,Create Function Uses,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray
MediaWiki,1.1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
MediaWiki,1.2.0,21,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.1,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.2,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.3,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.4,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,199,13,2,0,0,0,0,0
MediaWiki,1.2.5,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,199,13,2,0,0,0,0,0
MediaWiki,1.2.6,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,201,13,2,0,0,0,0,0
MediaWiki,1.3.0,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,291,69,3,2,0,0,0,0
MediaWiki,1.3.1,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,293,71,3,2,0,0,0,0
MediaWiki,1.3.2,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,293,71,3,2,0,0,0,0
MediaWiki,1.3.3,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,295,71,3,2,0,0,0,0
MediaWiki,1.3.4,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,296,71,3,2,0,0,0,0
MediaWiki,1.3.5,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,296,71,3,2,0,0,0,0
MediaWiki,1.3.6,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,297,71,3,2,0,0,0,0
MediaWiki,1.3.7,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,297,71,3,2,0,0,0,0
